Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.029232,0.047061,-5.6957E-05,0,0,0,10.067,0.22006,-0.0014375,-6.9803E-05,0.35668,7.4306E-05,0.19974,0,0,0,0,0,0,package://bot12/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,4.8789E-19,1.756E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot12/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/FRW.STL,,Wheel-4,,,FRWJ,continuous,0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.7756E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,6.5052E-19,4.6852E-20,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot12/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/RRW.STL,,Wheel-1,Origin_RRWJ,Axis_RRWJ,RRWJ,continuous,-0.125,-0.13,-0.025,1.5707963267949,0.39309481042652,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot12/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/FLW.STL,,Wheel-2,Origin_FLWJ,Axis_FLWJ,FLWJ,continuous,0.125000000000004,0.13,-0.025,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-1.3878E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot12/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/RLW.STL,,Wheel-3,Origin_RLWJ,Axis_RLWJ,RLWJ,continuous,-0.124999999999996,0.13,-0.025,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
FC,0.015,-6.9389E-18,-3.7101E-17,0,0,0,0.075,3.125E-05,0,-4.5918E-38,2.125E-05,-1.9516E-21,2.125E-05,0,0,0,0,0,0,package://bot12/meshes/FC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/FC.STL,,Camera-2,Origin_FCJ,Axis_FCJ,FCJ,fixed,0.225,0,0.04,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,0
RC,0.015,0,-6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://bot12/meshes/RC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/RC.STL,,Camera-1,Origin_RCJ,Axis_RCJ,RCJ,fixed,0.0500000000000001,-0.23,0.125,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
LC,0.015,0,6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,6.5052E-22,2.125E-05,0,0,0,0,0,0,package://bot12/meshes/LC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/LC.STL,,Camera-3,Origin_LCJ,Axis_LCJ,LCJ,fixed,0.05,0.2,0.125,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
B,0.00625,0.099085,-2.2196E-17,0,0,0,0.92892,0.013926,-1.0304E-36,3.5706E-20,0.010898,-5.0118E-19,0.0030521,0,0,0,0,0,0,package://bot12/meshes/B.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/B.STL,,Back-1,,,BJ,prismatic,-0.225,0,0.022817,1.5708,0,0,base_link,0,1,0,100,0.1,-0.15,0,,,,,,,,0
EP1,0.1725,0,3.7297E-17,0,0,0,0.22,1.4667E-05,0,-5.2475E-21,0.0055532,1.2721E-22,0.0055532,0,0,0,0,0,0,package://bot12/meshes/EP1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/EP1.STL,,EP1-1,,,EP1J,prismatic,0,0.005,0.33,1.5708,0,0,base_link,1,0,0,100,0.1,0,0.35,,,,,,,,0
EP2,-5.5511E-17,-0.115,-9.4542E-17,0,0,0,0.1,0.00052417,-1.1327E-36,-2.5163E-22,6.6667E-06,1.7647E-21,0.00052417,0,0,0,0,0,0,package://bot12/meshes/EP2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/EP2.STL,,EP2-1,,,EP2J,prismatic,0.4575,0,0,0,0,0,EP1,0,1,0,100,0.1,-0.23,0,,,,,,,,0
CH,-1.1102E-16,-0.008042,-2.1684E-17,0,0,0,0.026574,4.7597E-06,-2.2618E-21,-4.4282E-21,7.4378E-06,-5.6877E-21,4.7597E-06,0,0,0,0,0,0,package://bot12/meshes/CH.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/CH.STL,,Triangular Holder-1,,,CHJ,fixed,0,-0.245,0,3.1416,0,3.1416,EP2,0,0,0,,,,,,,,,,,,0
F1,0.021298,-0.064967,5.5279E-08,0,0,0,0.026963,3.4145E-05,-3.7053E-06,1.4921E-11,7.6085E-06,-5.0153E-11,3.5529E-05,0,0,0,0,0,0,package://bot12/meshes/F1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/F1.STL,,Angular Finger-1,,,F1J,revolute,-0.014321,-0.017,0,3.1416,0,2.8798,CH,0,0,1,100,0.125,-1.0472,0,,,,,,,,0
F2,0.021298,-0.064967,6.1784E-08,0,0,0,0.026963,3.4145E-05,-3.7053E-06,1.4729E-11,7.6085E-06,-5.8707E-11,3.5528E-05,0,0,0,0,0,0,package://bot12/meshes/F2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot12/meshes/F2.STL,,Angular Finger-2,,,F2J,revolute,0.0071603,-0.017,-0.012402,0.42143,0.99089,0.49195,CH,0,0,1,100,0.125,0,1.0472,,,,,,,,0
