Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0053902,0.054165,-2.3712E-16,0,0,0,14.204,0.27975,0.0073374,-1.9957E-16,0.50704,-4.0267E-17,0.31459,0,0,0,0,0,0,package://bot6/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,4.3368E-19,1.7597E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot6/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/FRW.STL,,Wheel-3,,,FRWJ,continuous,0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.77555756156289E-17,-7.53920386007342E-05,-0.089381031363088,0,0,0,0.8334016991443,0.00215743548655978,6.50521303491303E-19,4.67985703358001E-20,0.00216058181623486,-8.55705036383985E-07,0.0039286091523943,0,0,0,0,0,0,package://bot6/meshes/RRW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/RRW.STL,,Wheel-2,,,RRWJ,continuous,-0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-7.53920386007238E-05,-0.0893810313630881,0,0,0,0.8334016991443,0.00215743548655978,-8.79635490065067E-21,2.78368928810459E-19,0.00216058181623486,-8.5570503638385E-07,0.0039286091523943,0,0,0,0,0,0,package://bot6/meshes/FLW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/FLW.STL,,Wheel-1,,,FLWJ,continuous,0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-1.3878E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot6/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/RLW.STL,,Wheel-4,,,RLWJ,continuous,-0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
CL,0.015,0,-6.93889390390723E-18,0,0,0,0.075,3.125E-05,4.76321900401482E-37,4.23516473627154E-22,2.125E-05,-1.92107072437275E-21,2.125E-05,0,0,0,0,0,0,package://bot6/meshes/CL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/CL.STL,,Camera-3,,,CLJ,fixed,0.05,0.23,0.125,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,0
CR,0.015,0,-6.93889390390723E-18,0,0,0,0.075,3.125E-05,-1.62630325872826E-22,4.23516473627154E-22,2.125E-05,-1.30556011603463E-21,2.125E-05,0,0,0,0,0,0,package://bot6/meshes/CR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/CR.STL,,Camera-2,,,CRJ,fixed,0.05,-0.23,0.125,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,0
FC,0.015,0,-3.18704616733903E-17,0,0,0,0.075,3.125E-05,3.52930394689292E-22,-3.52930394689292E-22,2.125E-05,-1.53821183221381E-21,2.125E-05,0,0,0,0,0,0,package://bot6/meshes/FC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/FC.STL,,Camera-1,,,FCJ,fixed,0.225,0,0.04,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,0
EX1,0.161155451186496,0,-1.9751706802989E-17,0,0,0,0.14636282401554,1.12799200839636E-05,1.56538644821314E-21,-1.3451593290669E-20,0.00339929403847134,-3.71025841885802E-22,0.0033988227995733,0,0,0,0,0,0,package://bot6/meshes/EX1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/EX1.STL,,Extension Pole 1-1,,,EX1J,prismatic,0,0,0.305,1.5708,0,0,base_link,1,0,0,10,0.1,-0.27,0,,,,,,,,0
EX2,0,0.105072444276435,-2.92584085604614E-17,0,0,0,0.116088794363281,0.00133800359830616,3.0584065344249E-22,-2.06795153138257E-22,1.15088407194072E-05,4.55114328027992E-21,0.00133696119022329,0,0,0,0,0,0,package://bot6/meshes/EX2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot6/meshes/EX2.STL,,Extension Pole 2-1,,,EX2J,prismatic,0.39,0,0,0,0,3.1416,EX1,0,1,0,10,0.1,-0.198,0,,,,,,,,0
CH,1.1102E-16,-0.026528,9.5396E-17,0,0,0,0.047623,1.2295E-05,4.8893E-20,9.3058E-22,1.7093E-05,2.3134E-20,1.2749E-05,0,0,0,0,0,0,package://bot6/meshes/CH.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/CH.STL,,Claw holder-2,,,CHJ,revolute,0,0.2555,0,0,0,3.1416,EX2,0,0,1,10,0.5527,-1.5708,0,,,,,,,,0
F1,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot6/meshes/F1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/F1.STL,,Angular Finger-1,,,F1J,revolute,0.022,-0.037,0,0,0,0,CH,0,0,1,10,0.125,-0.7854,0,,,,,,,,0
F2,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot6/meshes/F2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/F2.STL,,Angular Finger-2,,,F2J,revolute,0,-0.037,-0.022,0,1.5708,0,CH,0,0,1,10,0.125,-0.7854,0,,,,,,,,0
F3,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot6/meshes/F3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/F3.STL,,Angular Finger-4,,,F3J,revolute,-0.022,-0.037,0,-3.1416,0,3.1416,CH,0,0,1,10,0.125,-0.5236,0,,,,,,,,0
F4,0.093298,0.064967,-0.022,0,0,0,0.026962,3.4145E-05,3.7053E-06,-4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot6/meshes/F4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot6/meshes/F4.STL,,Angular Finger-3,,,F4J,revolute,0.022,-0.037,-0.05,0,-1.5708,0,CH,0,0,1,0,0.125,0,0.7854,,,,,,,,0
