Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.029232,0.047061,-5.6957E-05,0,0,0,10.067,0.22006,-0.0014375,-6.9803E-05,0.35668,7.4306E-05,0.19974,0,0,0,0,0,0,package://bot15/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,4.8789E-19,1.7565E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot15/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/FRW.STL,,Wheel-4,Origin_FRWJ,Axis_FRWJ,FRWJ,continuous,0.125,-0.13,-0.025,1.5707963267949,0.39309481042652,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.7756E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,6.5052E-19,4.6852E-20,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot15/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/RRW.STL,,Wheel-1,Origin_RRWJ,Axis_RRWJ,RRWJ,continuous,-0.125,-0.13,-0.025,1.5707963267949,0.39309481042652,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot15/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/FLW.STL,,Wheel-2,Origin_FLWJ,Axis_FLWJ,FLWJ,continuous,0.125000000000004,0.13,-0.025,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-1.3878E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot15/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/RLW.STL,,Wheel-3,Origin_RLWJ,Axis_RLWJ,RLWJ,continuous,-0.124999999999996,0.13,-0.025,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
FC,0.015,-6.9389E-18,-3.7101E-17,0,0,0,0.075,3.125E-05,0,0,2.125E-05,-1.9516E-21,2.125E-05,0,0,0,0,0,0,package://bot15/meshes/FC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/FC.STL,,Camera-2,Origin_FCJ,Axis_FCJ,FCJ,fixed,0.225,0,0.04,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,0
RC,0.015,0,-6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://bot15/meshes/RC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/RC.STL,,Camera-1,Origin_RCJ,Axis_RCJ,RCJ,fixed,0.0500000000000001,-0.23,0.125,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
LC,0.015,0,6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,6.5052E-22,2.125E-05,0,0,0,0,0,0,package://bot15/meshes/LC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/LC.STL,,Camera-3,Origin_LCJ,Axis_LCJ,LCJ,fixed,0.05,0.2,0.125,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
B,0.00625,0.099085,-2.2196E-17,0,0,0,0.92892,0.013926,-1.0304E-36,3.5706E-20,0.010898,-5.0118E-19,0.0030521,0,0,0,0,0,0,package://bot15/meshes/B.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/B.STL,,Back-1,Origin_BJ,Axis_BJ,BJ,prismatic,-0.225,0,0.0228173180014822,1.5707963267949,0,0,base_link,0,1,0,100,0.1,-0.15,0,,,,,,,,0
EP1,0.1725,0,3.7297E-17,0,0,0,0.22,1.4667E-05,0,-5.2475E-21,0.0055532,1.2721E-22,0.0055532,0,0,0,0,0,0,package://bot15/meshes/EP1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/EP1.STL,,EP1-1,Origin_EP1J,Axis_EP1J,EP1J,prismatic,0,0.00500000000000016,0.33,1.5707963267949,0,0,base_link,1,0,0,100,0.1,0,0.35,,,,,,,,0
EP2,0,-0.14,-1.1362E-16,0,0,0,0.12,0.000904,-2.2588E-21,-3.3018E-22,8E-06,2.1176E-21,0.000904,0,0,0,0,0,0,package://bot15/meshes/EP2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/EP2.STL,,EP2-1,Origin_EP2J,Axis_EP2J,EP2J,prismatic,0.4575,0,0,0,0,0,EP1,0,1,0,100,0.1,-0.23,0,,,,,,,,0
CH,-1.1102E-16,-0.008042,-1.8215E-17,0,0,0,0.026574,4.7597E-06,-2.0809E-21,-1.4565E-21,7.4378E-06,-4.8449E-21,4.7597E-06,0,0,0,0,0,0,package://bot15/meshes/CH.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/CH.STL,,Triangular Holder-1,Origin_CHJ,Axis_CHJ,CHJ,fixed,0,-0.295,0,3.14159265358979,0,3.14159265358979,EP2,0,0,0,,,,,,,,,,,,0
F1,0.021298,-0.064967,5.5279E-08,0,0,0,0.026963,3.4145E-05,-3.7053E-06,1.4921E-11,7.6085E-06,-5.0153E-11,3.5529E-05,0,0,0,0,0,0,package://bot15/meshes/F1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/F1.STL,,Angular Finger-1,Origin_F1J,Axis_F1J,F1J,revolute,-0.0143205080756888,-0.017,0,3.14159265358979,0,2.87979326579064,CH,0,0,1,100,0.125,-1.0471975511966,0,,,,,,,,0
F2,0.021298,-0.064967,6.1784E-08,0,0,0,0.026963,3.4145E-05,-3.7053E-06,1.4729E-11,7.6085E-06,-5.8707E-11,3.5528E-05,0,0,0,0,0,0,package://bot15/meshes/F2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/F2.STL,,Angular Finger-2,Origin_F2J,Axis_F2J,F2J,revolute,0.00716025403784548,-0.017,-0.0124019237886468,0.421429094018827,0.990894238270136,0.491952211341743,CH,0,0,1,100,0.125,0,1.0471975511966,,,,,,,,0
F3,0.03073,-0.085094,4.5374E-08,0,0,0,0.026963,3.4145E-05,-3.7053E-06,1.3008E-11,7.6085E-06,-4.7018E-11,3.5529E-05,0,0,0,0,0,0,package://bot15/meshes/F3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot15/meshes/F3.STL,,Angular Finger-3,Origin_F3J,Axis_F3J,F3J,revolute,0,0,0,-0.4214290940189,-0.990894238270186,0.491952211341808,CH,0,0,1,100,0.125,-1.0471975511966,0,,,,,,,,0
