Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0092362703391269,0.0547009790130172,-2.37553472344684E-16,0,0,0,11.1176266224759,0.241120120296571,0.013004561627403,-1.67214322216903E-16,0.41844799079382,-9.63987381036561E-17,0.260887544676004,0,0,0,0,0,0,package://bot5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot5/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,4.3368E-19,1.7549E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot5/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/FRW.STL,,Wheel-3,,,FRWJ,continuous,0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.7756E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,6.5052E-19,4.6852E-20,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot5/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/RRW.STL,,Wheel-2,,,RRWJ,continuous,-0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot5/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/FLW.STL,,Wheel-1,,,FLWJ,continuous,0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-0.125,-0.025075,-0.21938,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot5/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/RLW.STL,,Wheel-4,,,RLWJ,continuous,0,0,0,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
CL,0.015,0,-6.93889390390723E-18,0,0,0,0.075,3.125E-05,4.76321900401482E-37,4.23516473627154E-22,2.125E-05,-1.92107072437275E-21,2.125E-05,0,0,0,0,0,0,package://bot5/meshes/CL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bot5/meshes/CL.STL,,Camera-3,,,CLJ,fixed,0.05,0.23,0.125,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,0
CR,0.015,0,-6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://bot5/meshes/CR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/CR.STL,,Camera-2,,,CRJ,fixed,0.05,-0.23,0.125,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,0
FC,0.015,0,-3.187E-17,0,0,0,0.075,3.125E-05,3.5293E-22,-3.5293E-22,2.125E-05,-1.5382E-21,2.125E-05,0,0,0,0,0,0,package://bot5/meshes/FC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/FC.STL,,Camera-1,,,FCJ,fixed,0.225,0,0.04,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,0
EX1,0.16116,0,-1.9717E-17,0,0,0,0.14636,1.128E-05,1.5654E-21,-1.3485E-20,0.0033993,-3.7103E-22,0.0033988,0,0,0,0,0,0,package://bot5/meshes/EX1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/EX1.STL,,Extension Pole 1-1,,,EX1J,prismatic,0,0,0.305,1.5708,0,0,base_link,1,0,0,0,0.1,-0.27,0,,,,,,,,0
EX2,0,0.10507,-2.9287E-17,0,0,0,0.11609,0.001338,3.238E-22,-2.068E-22,1.1509E-05,3.5983E-21,0.001337,0,0,0,0,0,0,package://bot5/meshes/EX2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot5/meshes/EX2.STL,,Extension Pole 2-1,,,EX2J,prismatic,0.39,0,0,0,0,3.1416,EX1,0,1,0,0,0.1,-0.198,0,,,,,,,,0
